わざ名,配布対象
エレキネット,うめ、せな、まこっちゃん、れおさん
エレキボール,うめ、せな、まこっちゃん、れおさん
かみなり,うめ、あゆま、せな、まこっちゃん
チャージビーム,うめ、ぶっちー、せな、れおさん、まこっちゃん
でんきショック,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
まこっちゃん、れおさん"
でんげきは,"もりみつ、うめ、まちだ、とうま、あゆま、ともき、はるた、まっちゃん、みっちー、
せな、ふうと、まこっちゃん、れおさん"
でんじほう,うめ、せな、まこっちゃん
パラボラチャージ,うめ、せな、まこっちゃん
ほうでん,うめ、せな、まこっちゃん
ボルトチェンジ,うめ、まちだ、あゆま、はるた、みっちー、せな、まこっちゃん
いえき,もりもり、いっくん
トーチカ,いっくん、まこっちゃん
どくガス,いっくん
どくどく,もりみつ、うめ、とうま、あゆま、みっちー、いっくん、まこっちゃん
どくのこな,たつた、まこっちゃん
どくびし,うめ、みっちー、いっくん、まこっちゃん
とぐろをまく,ぶっちー、にしき、れおさん
とける,にしき、いっくん、まこっちゃん
クロスポイズン,いっくん、まこっちゃん
ダストシュート,もりみつ、はるた、いっくん
どくづき,もりみつ、とうま、みっちー、まこっちゃん
どくどくのキバ,うめ、いっくん
アシッドボム,たつた、いっくん、まこっちゃん
クリアスモッグ,ぶっちー、まこっちゃん
ゲップ,もりもり、いっくん
ヘドロばくだん,もりもり、いっくん、れおさん
ベノムショック,たつた、まこっちゃん
ようかいえき,もりもり、いっくん
りゅうのまい,たつた、まっちゃん
げきりん,あゆま、まっちゃん、せな
スケイルショット,たつた、まっちゃん
ドラゴンクロー,たつた、まっちゃん
ドラゴンダイブ,たつた、まっちゃん
ドラゴンテール,たつた、まっちゃん
ワイドブレイカー,たつた、まっちゃん
たつまき,たつた、まっちゃん
ときのほうこう,まこっちゃん
りゅうせいぐん,たつた、まっちゃん
りゅうのいぶき,たつた、まっちゃん
りゅうのはどう,たつた、まっちゃん、れおさん
あくび,"たつた、うめ、まちだ、とうま、もりもり、あゆま、ぶっちー、ともき、はるた、
まっちゃん、にしき、せな、いっくん、ふうと、れおさん"
あさのひざし,えいらく、たかほ、まちだ、はるた、ふうと、まこっちゃん
アンコール,"えいらく、たかほ、まちだ、とうま、もりもり、あゆま、ぶっちー、はるた、まっちゃん、
にしき、せな、いっくん、ふうと、まこっちゃん、れおさん"
いたみわけ,もりみつ、みっちー
いばる,"もりみつ、とうま、もりもり、あゆま、ともき、まっちゃん、みっちー、いっくん、
ふうと"
いやなおと,れおさん
うたう,えいらく、たつた、ふうと
えんまく,うめ、とうま、あゆま、ともき、みっちー、いっくん
おたけび,もりみつ、うめ、とうま、もりもり、あゆま、まっちゃん、いっくん
かげぶんしん,えいらく、とうま、ふうと
かたくなる,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
まこっちゃん、れおさん"
かなしばり,れおさん
からをやぶる,まちだ、あゆま、みっちー
きあいだめ,まちだ、はるた、まっちゃん、ふうと
くすぐる,とうま
くろいまなざし,みっちー
こらえる,"たつた、もりみつ、たかほ、まちだ、あゆま、ともき、はるた、まっちゃん、
みっちー、まこっちゃん"
こわいかお,あゆま、まっちゃん
さいきのいのり,たかほ、まこっちゃん
じこあんじ,もりもり、れおさん
じこさいせい,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、あゆま、ぶっちー、
ともき、はるた、まっちゃん、みっちー、せな、いっくん、ふうと、まこっちゃん"
しっぽぎり,もりみつ、うめ、とうま、ともき、いっくん
しっぽをふる,えいらく、はるた
しんぴのまもり,れおさん
せいちょう,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
まこっちゃん、れおさん"
たくわえる,えいらく、もりみつ、たかほ、まちだ、ともき、みっちー、まこっちゃん
ちいさくなる,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
まこっちゃん、れおさん"
ちょうおんぱ,もりもり、れおさん
つぼをつく,もりみつ、たかほ、みっちー、まこっちゃん
つるぎのまい,とうま、ぶっちー、いっくん、ふうと
ないしょばなし,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
まこっちゃん、れおさん"
なかまづくり,もりもり
なまける,とうま
にらみつける,あゆま、まっちゃん
ねがいごと,れおさん
ねごと,あゆま、ぶっちー、にしき、いっくん、ふうと
ハッピータイム,れおさん
バトンタッチ,"えいらく、たつた、もりみつ、たかほ、まちだ、とうま、もりもり、あゆま、ぶっちー、
ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
まこっちゃん"
はねる,たかほ、もりもり、いっくん
はらだいこ,もりもり、いっくん
フラフラダンス,えいらく、ふうと
ふるいたてる,えいらく、たかほ、もりもり、あゆま、まっちゃん、せな、いっくん、ふうと
ほえる,もりみつ、うめ、とうま、もりもり、あゆま、まっちゃん、せな、いっくん
ほおばる,たつた、うめ、はるた、いっくん、ふうと、まこっちゃん
まねっこ,ともき、ふうと
まもる,"えいらく、たつた、もりみつ、うめ、まちだ、とうま、もりもり、あゆま、ぶっちー、
はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、まこっちゃん、
れおさん"
みがわり,"えいらく、たつた、もりみつ、うめ、まちだ、とうま、もりもり、あゆま、ぶっちー、
ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
れおさん"
ミルクのみ,ふうと
みをけずる,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
まこっちゃん、れおさん"
ゆびをふる,ぶっちー、ふうと、れおさん
ロックオン,まちだ、とうま、あゆま、ともき、はるた、ふうと
あばれる,うめ、とうま、もりもり、あゆま、まっちゃん、せな、いっくん
いかりのまえば,もりもり
かいりき,えいらく、まっちゃん
かたきうち,えいらく、たかほ、まちだ、もりもり、あゆま、はるた、まっちゃん、せな
がむしゃら,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
まこっちゃん、れおさん"
からげんき,たつた、もりもり、れおさん
ギガインパクト,えいらく
きりさく,とうま、せな
こうそくスピン,えいらく、もりみつ、うめ、とうま、ぶっちー、みっちー、にしき、ふうと
じたばた,もりもり、いっくん
じばく,えいらく、たつた、もりみつ、とうま、もりもり、にしき、いっくん
しめつける,とうま
しんそく,えいらく、まちだ、あゆま、ともき、はるた、まっちゃん、みっちー
ずつき,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
れおさん"
すてみタックル,もりもり、にしき
たいあたり,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
れおさん"
ダブルアタック,"えいらく、もりみつ、たかほ、とうま、あゆま、はるた、まっちゃん、みっちー、せな、
ふうと"
でんこうせっか,えいらく、とうま、あゆま、はるた、まっちゃん、ふうと
とっしん,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
れおさん"
ねこだまし,とうま
のしかかり,うめ、もりもり、いっくん
ハサミギロチン,せな、まこっちゃん
フェイント,"えいらく、もりみつ、たかほ、うめ、とうま、あゆま、はるた、まっちゃん、
みっちー、ふうと"
ふみつけ,あゆま、みっちー
ほしがる,いっくん、ふうと
みだれづき,もりみつ、れおさん
わるあがき,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
まこっちゃん、れおさん"
いびき,もりもり、にしき、いっくん、ふうと
ウェザーボール,もりもり、ともき
エコーボイス,えいらく、たつた、いっくん、ふうと
さわぐ,"たつた、もりみつ、うめ、とうま、もりもり、あゆま、ともき、はるた、まっちゃん、
にしき、せな、いっくん、ふうと"
スピードスター,まちだ、あゆま、ともき、はるた、まっちゃん、みっちー
ハイパーボイス,えいらく、たつた、とうま、もりもり、あゆま、いっくん、ふうと、れおさん
はかいこうせん,うめ、もりもり、はるた、いっくん
ばくおんぱ,えいらく、とうま、いっくん
ギアチェンジ,あゆま、はるた、せな、まこっちゃん
きんぞくおん,えいらく、まちだ、とうま、あゆま、はるた、みっちー、せな、まこっちゃん
てっぺき,えいらく、まちだ、もりもり、あゆま、みっちー、せな
アイアンテール,あゆま、せな
アイアンヘッド,あゆま、はるた、せな
コメットパンチ,あゆま、まっちゃん、せな
ジャイロボール,えいらく、たつた、とうま、あゆま、はるた、せな
スマートホーン,あゆま、せな
ハードプレス,もりもり、あゆま、せな、いっくん
バレットパンチ,あゆま、まっちゃん、せな
ヘビーボンバー,もりもり、いっくん
メタルクロー,あゆま、せな
ゴールドラッシュ,もりみつ
タキオンカッター,あゆま、ぶっちー、はるた、まこっちゃん
てっていこうせん,あゆま、はるた
はめつのめがい,れおさん
ラスターカノン,あゆま、せな、まこっちゃん
おいかぜ,もりみつ、ともき、ふうと
きりばらい,たかほ、ぶっちー、まこっちゃん
はねやすめ,もりみつ、ともき
フェザーダンス,えいらく、まちだ、ふうと
アクロバット,もりみつ、とうま、あゆま、ともき、まっちゃん、ふうと
ゴットバード,もりみつ、ともき
そらをとぶ,"えいらく、たつた、もりみつ、たかほ、あゆま、ともき、はるた、みっちー、せな、
ふうと、まこっちゃん"
ダブルウイング,もりみつ、たかほ、ともき、ふうと
ついばむ,とうま、はるた、にしき
つつく,もりみつ、とうま、ともき
つばさでうつ,もりみつ、ともき
つばめがえし,たつた、もりみつ、とうま、あゆま、ともき、まっちゃん、ふうと
とびはねる,うめ、もりもり
ドリルくちばし,もりみつ、ともき
ブレイブバード,もりみつ
エアカッター,もりみつ、とうま、ぶっちー、ともき、みっちー
エアスラッシュ,もりみつ、とうま、ともき、みっちー
かぜおこし,たつた、あゆま、ともき
こがらしあらし,もりみつ、うめ、ともき、ふうと
ぼうふう,もりみつ、とうま、もりもり、ともき、せな、ふうと
あまえる,えいらく、とうま、もりもり、はるた、にしき、いっくん
つきのひかり,もりみつ、ぶっちー、はるた、まこっちゃん
つぶらなひとみ,えいらく
てんしのキッス,ぶっちー、はるた、まこっちゃん
ミストフィールド,ぶっちー、はるた、まこっちゃん
じゃれつく,"えいらく、たつた、もりみつ、たかほ、うめ、とうま、もりもり、あゆま、ぶっちー、
ともき、はるた、まっちゃん"
チャームボイス,まちだ、もりもり、ぶっちー、はるた、ふうと、まこっちゃん
ドレインキッス,もりもり、ぶっちー、はるた、まこっちゃん
マジカルシャイン,まちだ、ぶっちー、はるた、まこっちゃん
ミストバースト,ぶっちー、はるた、まこっちゃん
みわくのボイス,えいらく、まちだ、ぶっちー、はるた、まこっちゃん
ムーンフォース,もりみつ、ぶっちー、はるた、まこっちゃん
ようせいのかぜ,ぶっちー、はるた、まこっちゃん
おにび,うめ、ぶっちー、にしき
にほんばれ,はるた
かえんぐるま,もりみつ、ふうと
かえんボール,もりみつ、まちだ、あゆま、はるた、みっちー、ふうと
せいなるほのお,ふうと
ニトロチャージ,もりみつ、まちだ、あゆま、ともき、はるた、まっちゃん、みっちー、ふうと
フレアドライブ,もりみつ、ふうと
ブレイズキック,もりみつ、まちだ、あゆま、はるた、みっちー、ふうと
ほのおのキバ,もりみつ、ふうと
ほのおのパンチ,もりみつ、まっちゃん、ふうと
やけっぱち,もりみつ、もりもり、ふうと
オーバーヒート,もりみつ、はるた、ふうと
かえんほうしゃ,もりみつ、ともき、ふうと
しっとのほのお,えいらく、あゆま、にしき、れおさん
だいもんじ,もりみつ、まっちゃん、ふうと
ねっぷう,もりみつ、たかほ、ふうと
フレアソング,えいらく、たつた、ふうと
ふんか,もりみつ、もりもり、あゆま、ふうと
ほのおのうず,もりみつ、とうま、ふうと
ほのおのまい,ふうと
マジカルフレイム,まちだ、ぶっちー、はるた、まこっちゃん
もえつきる,もりみつ、とうま、もりもり、はるた
れんごく,あゆま
アクアリング,えいらく、まちだ
あまごい,れおさん
からにこもる,もりもり、れおさん
アクアカッター,えいらく、まちだ、とうま、ぶっちー
アクアジェット,えいらく、まちだ
アクアステップ,えいらく、まちだ
アクアテール,えいらく、まちだ
アクアブレイク,えいらく、まちだ
クイックターン,えいらく、まちだ、あゆま、まっちゃん
ジェットパンチ,えいらく、まちだ、まっちゃん
ダイビング,もりみつ、たかほ、まちだ、あゆま、まっちゃん
たきのぼり,えいらく、うめ、まちだ、みっちー、ふうと
うずしお,まちだ、みっちー、せな
うたかたのアリア,まこっちゃん
しおふき,えいらく、まちだ
だくりゅう,たつた、もりもり、いっくん
なみのり,えいらく、もりみつ、たかほ、まちだ、まっちゃん、れおさん
ねっとう,とうま
ねらいうち,まちだ、あゆま、ともき、はるた
ハイドロポンプ,えいらく、まちだ
バブルこうせん,えいらく、まちだ
ひやみず,うめ
みずのはどう,えいらく、まちだ、れおさん
いとをはく,えいらく、もりみつ、とうま、ぶっちー、みっちー、いっくん、れおさん
ちょうのまい,ぶっちー、ふうと、れおさん
ねばねばネット,えいらく、もりみつ、うめ、とうま、ぶっちー、みっちー、いっくん、れおさん
ほたるび,ぶっちー
きゅうけつ,うめ、れおさん
シザークロス,とうま、はるた
であいがしら,えいらく、たかほ、にしき、せな、れおさん
とどめばり,ぶっちー、れおさん
とびかかる,"もりみつ、うめ、とうま、もりもり、あゆま、ぶっちー、はるた、まっちゃん、ふうと、
れおさん"
とんぼがえり,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、もりもり、あゆま、ぶっちー、
ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、れおさん"
ミサイルばり,もりみつ、ぶっちー、れおさん
メガホーン,ぶっちー、ふうと、れおさん
れんぞくぎり,とうま、ぶっちー、いっくん
かふんだんご,たつた、うめ、ぶっちー、ともき、れおさん
まとわりつく,もりみつ、いっくん、れおさん
むしのさざめき,ぶっちー、れおさん
